apk,des,per,pp,ui,cg,des_psg,BLEU-n_psg,ROUGE-L_psg,des_ctx,BLEU-n,ROUGE-L
com.vtcreator.android360,Just tap the Capture button and move your phone slowly and steadily from left to right,camera,"This permission help us to get an image from your camera, and take picture from your smartphone camera.",CAMERA Upload Profile Image ,update necessary camera get optimal pic sizes get picture sizes open surface surface process frame take picture , while the camera button and selectpicture button allow users to capture images using the device s camera,12.786793311103311,27.586206397146256, take photos from gallery or take photo from gallery,2.302025819816555,9.523809115646275
com.universalappsstudio.maadurgaringtones,Set the current ringtones as Contact ringtone,contact,read_contacts and write_contacts are required to set ringtones for specific contact,Grant contact permission before using our app Select Contacts Set Ringtone Select Ringtone Save Change Exit,open contact open contact photo input stream set, and save the current time when the app is stopped,11.518921568034022,24.999999507812507, read contacts to read the contacts in contacts,5.677983649215282,16.66666618055557
com.justahead.justaheadandroid,GPS prompts the app to deliver spoken descriptions and stories of the scenery and sights just outside your car window.,location,"Whenever you use our App, Site or Service, we may collect non-identifying information from you, such as your IP address, interactions with the App, Site and Service, query information, location, referring URL, browser, operating system, cookie information, usage, data transferred, and Internet Service Provider",Search Location permission has been granted,get latitude get longitude update location invalidate position user location enable follow location set user location location draw location enable start location provider set user location mode user location visible draw safe get location map drawing location set mode update drawing position, and it can handle activity results and save the current state of the app to the device,18.636361252444587,18.74999950781251, this app uses your location to gps you with gps and track your location to track your location,7.552662255370108,27.586206425683713
com.sec.android.app.sbrowser.beta,Microphone: Used to provide recording function,microphone,the microphone is used for the sound recording only the audio track is saved only on your local device and not send anywhere by the application,you can use your device microphone to record,set audio source click initialize create start recording cursor,s camera and to provide an easy,16.862012739611025,30.76923027218935, the application can record your voice and sound to record sound into your phone's,2.944456754818198,11.764705425605555
com.DramaProductions.Einkaufen5,Barcode scanner,camera,"camera is used to scan QR code and barcode, this is main feature of the app.",camera scan scan barcode exit,get camera id list set click listener click open camera, the app includes a qr code scanner and displays a dialog when the android camera encounters a problem,2.4422393111101006,11.764705674740489, scan the barcode and barcode camera,7.757368003220255,28.57142816326531
com.mobileappsprn.preston,Barcode scanner,camera,"camera is used to scan QR code and barcode, this is main feature of the app.",camera scan scan barcode exit,get camera id list set click listener click open camera, the app includes a qr code scanner and displays a dialog when the android camera encounters a problem,2.4422393111101006,11.764705674740489, scan the barcode and barcode camera,7.757368003220255,28.57142816326531
com.gl.senza,Barcode scanner,camera,"camera is used to scan QR code and barcode, this is main feature of the app.",camera scan scan barcode exit,get camera id list set click listener click open camera, the app includes a qr code scanner and displays a dialog when the android camera encounters a problem,2.4422393111101006,11.764705674740489, scan the barcode and barcode camera,7.757368003220255,28.57142816326531
com.apple.qrcode.reader,Barcode scanner,camera,"camera is used to scan QR code and barcode, this is main feature of the app.",camera scan scan barcode exit,get camera id list set click listener click open camera, the app includes a qr code scanner and displays a dialog when the android camera encounters a problem,2.4422393111101006,11.764705674740489, scan the barcode and barcode camera,7.757368003220255,28.57142816326531
com.kaydev.qrcodescan,Barcode scanner,camera,"camera is used to scan QR code and barcode, this is main feature of the app.",camera scan scan barcode exit,get camera id list set click listener click open camera, the app includes a qr code scanner and displays a dialog when the android camera encounters a problem,2.4422393111101006,11.764705674740489, scan the barcode and barcode camera,7.757368003220255,28.57142816326531
il.co.smedia.callrecorder.yoni,Call Recorder automatic - record all your calls on auto-pilot,microphone,"Some of our apps may need Record Audio and External Data Storage, it is used only to improve the user experience in our apps such as recording words and storing the results.",Call Recorder A new call has been recorded Call Recording Pause Stop Resume Delete Records,set audio source start record set output file start , and creating a backup of their contacts and calls,4.4837340526435,11.111110617283972, the app is you to record the microphone to your phone,6.877744262307546,21.052631080332425
